0	1	1
0	2	1
0	3	1
1	2	30
1	3	29
2	3	29
1	5	34
1	6	1
1	7	7
8	1	1
1	9	8
1	10	9
2	5	4
2	6	1
2	7	1
8	2	1
9	2	1
2	10	1
3	5	3
3	6	1
3	7	1
8	3	1
9	3	1
10	3	1
5	6	1
5	7	4
8	5	2
9	5	6
10	5	18
6	7	1
8	6	1
9	6	1
10	6	1
8	7	1
9	7	6
10	7	3
8	9	1
8	10	1
9	10	2
11	12	1
11	13	1
12	13	1
14	15	1
16	17	1
16	10	2
16	5	5
17	10	5
17	5	10
18	5	2
9	19	1
9	20	1
19	20	2
1	21	1
1	22	3
1	23	1
24	1	1
1	25	1
21	5	1
5	22	1
5	23	1
24	5	1
25	5	1
21	7	1
22	7	1
23	7	1
24	7	1
25	7	1
21	22	2
21	23	2
24	21	2
25	21	2
22	23	2
24	22	2
25	22	2
24	23	2
25	23	2
24	25	2
10	26	2
10	14	8
26	5	5
26	14	6
5	14	35
27	29	1
28	29	2
5	29	4
27	28	1
27	5	1
28	5	8
5	30	4
32	5	4
32	10	3
32	17	3
32	31	3
5	31	5
10	31	3
17	31	4
33	5	3
16	34	1
35	5	2
36	37	1
34	5	4
1	14	20
1	39	4
5	39	2
14	39	6
40	5	3
41	5	3
42	5	3
43	5	3
40	41	2
40	42	2
40	43	3
40	14	3
40	28	3
41	42	3
41	43	2
41	14	4
41	28	2
42	43	2
42	14	4
42	28	2
43	14	3
43	28	3
28	14	5
1	26	4
9	26	1
26	7	1
44	5	1
9	44	1
9	14	3
9	29	1
44	14	1
44	29	1
29	14	1
45	5	1
5	46	6
45	46	1
45	14	7
28	45	1
46	14	6
28	46	1
1	13	1
1	47	2
13	5	1
5	47	3
13	47	1
48	16	1
48	5	1
49	50	1
49	47	1
50	47	1
51	5	1
52	5	1
53	5	2
17	51	1
17	52	1
17	53	1
51	52	1
51	53	1
52	53	1
56	54	1
56	55	1
54	55	1
17	14	1
14	31	5
57	47	1
8	19	2
8	58	1
58	19	1
60	5	4
61	5	3
10	47	1
10	60	3
10	61	1
60	47	1
61	47	2
60	61	1
11	7	1
64	1	1
64	9	1
64	62	1
64	63	1
1	62	2
1	63	1
9	62	2
9	63	1
62	63	1
65	1	4
65	5	5
65	14	5
65	30	1
1	30	1
14	30	1
48	14	1
60	14	1
48	26	1
48	60	1
48	31	1
26	60	1
26	31	1
60	31	1
1	61	1
26	47	1
26	61	1
1	66	4
1	67	1
1	49	1
66	67	1
66	7	1
49	66	1
67	7	1
49	67	1
49	7	1
1	68	1
68	5	1
69	5	2
70	71	1
72	70	1
44	70	1
70	22	1
28	70	1
72	71	1
44	71	1
22	71	1
28	71	1
72	44	1
72	22	1
72	28	1
44	22	1
44	28	1
28	22	1
73	9	2
73	28	1
9	28	2
74	5	1
74	14	1
5	37	2
37	7	1
16	37	1
61	37	1
16	7	1
61	7	1
16	61	1
75	36	2
75	69	2
75	77	1
77	69	1
75	78	2
80	1	1
80	79	1
1	79	1
9	22	2
81	1	1
81	82	1
81	14	1
1	82	1
82	14	1
9	83	1
9	84	1
9	85	1
9	86	1
84	85	1
84	86	1
85	86	1
11	87	1
88	11	1
89	11	1
90	11	1
91	11	1
88	87	1
89	87	1
90	87	1
91	87	1
88	89	1
88	90	1
88	91	1
89	90	1
89	91	1
90	91	1
62	46	3
7	39	1
10	39	1
14	7	1
48	50	1
48	92	1
50	92	1
35	93	1
35	94	1
93	94	1
10	95	1
96	94	2
5	94	3
97	98	1
100	101	1
102	103	1
104	65	2
104	5	5
104	1	8
16	1	1
105	5	3
105	14	1
105	1	2
106	107	1
106	46	1
106	14	1
106	62	1
107	46	1
107	14	1
107	62	1
62	14	2
10	108	1
108	5	2
108	14	2
1	45	2
105	67	1
105	62	1
67	62	1
10	45	1
65	10	2
16	109	1
16	67	1
67	109	1
5	109	2
67	5	1
16	110	1
104	60	2
1	60	4
1	77	1
2	77	1
1	69	1
1	111	1
1	28	1
1	29	1
5	111	1
104	69	1
69	111	1
28	69	1
29	69	1
104	111	1
104	28	1
104	29	1
28	111	1
29	111	1
112	113	1
112	1	1
113	1	1
104	116	1
48	117	1
2	118	1
2	14	2
5	118	1
118	14	1
66	5	1
105	119	1
5	119	1
8	105	2
48	10	1
10	122	1
10	123	1
10	28	1
10	94	2
48	122	1
48	123	1
48	28	1
48	94	1
122	123	1
122	28	1
122	94	1
123	28	1
123	94	1
28	94	1
16	122	1
2	66	3
66	3	2
65	119	1
65	123	1
65	124	1
65	125	1
65	126	1
14	119	2
123	14	1
124	14	1
125	14	1
126	14	1
123	119	1
124	119	1
125	119	1
126	119	1
123	124	1
123	125	1
123	126	1
124	125	1
124	126	1
125	126	1
16	14	1
49	119	1
96	16	1
96	10	1
16	94	1
10	127	1
104	94	1
5	103	1
128	16	1
128	2	2
128	30	2
16	2	1
16	30	1
2	30	2
1	130	1
1	131	1
130	131	2
1	132	1
1	133	1
132	133	1
136	132	2
136	135	2
132	135	2
137	138	1
137	139	1
138	139	2
136	140	1
132	140	1
140	135	1
17	141	1
5	141	1
1	142	1
2	142	1
3	142	1
17	101	1
101	5	2
144	19	1
144	5	1
144	143	1
19	5	2
19	143	1
5	143	1
17	145	1
104	17	1
17	147	1
147	5	1
148	14	1
104	33	1
104	149	1
33	149	1
104	32	1
32	1	2
1	34	2
1	151	1
34	7	1
104	34	1
34	10	1
34	151	1
34	60	1
104	7	1
151	7	1
60	7	1
104	10	2
104	151	1
10	151	1
60	151	1
153	154	1
153	54	1
154	54	1
104	153	2
153	10	1
153	1	2
65	38	1
153	5	1
156	157	1
1	38	1
104	38	1
9	38	1
153	38	1
104	9	1
9	153	1
160	161	1
65	162	1
65	9	1
65	7	1
9	162	1
162	7	1
36	69	1
163	69	1
75	163	1
163	36	1
161	5	1
161	1	1
75	22	1
9	165	8
165	22	1
9	166	1
165	166	1
75	100	1
153	37	1
74	21	1
165	167	1
168	165	1
75	165	2
168	167	4
9	167	2
75	167	2
168	9	1
168	75	2
9	75	3
169	167	1
28	167	1
62	167	1
9	169	1
169	28	1
169	62	1
28	62	1
75	37	2
37	149	1
75	149	1
65	170	1
9	171	1
9	37	1
171	37	1
113	172	1
113	173	1
172	173	1
1	71	1
2	71	1
3	71	1
136	174	1
70	175	1
177	178	1
177	172	1
178	172	1
101	181	1
32	110	1
9	74	1
74	7	1
182	38	1
184	1	1
184	66	1
1	185	1
185	26	1
185	14	1
186	28	1
65	187	1
187	14	1
109	46	1
109	14	1
109	31	1
46	31	1
26	46	1
41	45	1
41	101	1
101	45	1
101	14	1
41	39	1
1	41	1
1	42	1
1	189	1
5	189	1
41	189	2
42	189	1
189	14	1
190	191	2
192	14	1
41	3	1
193	194	2
193	195	1
193	196	2
193	41	1
193	139	1
193	189	1
194	195	1
194	196	2
41	194	1
194	139	1
194	189	1
195	196	1
41	195	1
195	139	1
195	189	1
41	196	1
139	196	1
196	189	1
41	139	1
139	189	2
42	66	1
66	14	4
3	14	1
14	103	1
200	188	1
200	14	1
188	14	1
203	14	1
42	205	2
208	202	1
208	14	1
208	138	1
202	14	1
202	138	1
138	14	1
209	196	1
201	210	1
201	14	3
210	14	1
201	205	2
205	14	2
211	14	1
193	54	1
194	54	1
196	54	1
57	203	1
57	215	1
203	215	1
192	186	1
192	45	1
186	45	2
216	138	1
216	206	1
218	39	1
216	218	1
201	139	1
216	1	1
216	2	1
216	3	1
216	66	1
216	220	1
216	14	1
66	220	1
220	14	1
139	5	1
221	5	1
5	62	2
139	221	1
139	62	1
221	62	1
42	222	1
42	223	1
222	223	1
1	108	1
225	26	1
225	14	1
2	60	1
3	60	1
226	227	1
226	5	2
226	46	2
227	5	1
227	46	1
65	228	1
1	229	1
1	54	1
229	54	1
105	229	1
105	54	1
230	231	1
7	231	1
230	7	1
28	101	1
66	62	1
66	46	1
9	39	1
5	38	1
38	14	1
1	169	1
1	19	1
169	5	1
169	14	1
169	19	1
19	14	1
233	14	1
233	31	1
65	37	1
65	53	1
37	14	1
53	37	1
53	14	1
33	10	1
100	5	1
100	30	1
1	17	1
1	31	1
65	235	1
65	175	1
235	175	1
1	18	1
29	62	1
2	62	1
3	62	1
240	238	1
240	239	1
238	239	1
128	238	1
2	238	1
238	30	1
9	15	1
9	241	1
9	242	1
9	243	1
241	15	1
242	15	1
243	15	1
241	242	1
241	243	1
242	243	1
244	39	1
246	247	1
225	62	1
225	103	1
62	103	1
248	249	1
248	62	1
249	62	1
51	19	1
19	54	1
250	19	1
19	251	1
51	54	1
250	51	1
51	251	1
250	54	1
251	54	1
250	251	1
256	255	1
257	258	1
